SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-mpicbs03,9693,6021,17603,2.718,0.612,0.105,0.024,70,9.6
sub-mpicbs05,6848,4395,13078,2.753,0.524,0.106,0.020,54,5.4
sub-mpicbs06,7213,4576,13803,2.704,0.589,0.095,0.016,48,4.9
sub-mpicbs07,8052,4870,14890,2.817,0.591,0.102,0.023,56,7.4
sub-nottwil01,7165,4562,12350,2.459,0.586,0.108,0.021,57,6.4
sub-nottwil02,7575,5082,15299,2.740,0.516,0.105,0.022,57,7.1
sub-nottwil03,7212,4864,13332,2.513,0.532,0.121,0.027,79,8.3
sub-nottwil04,7159,4750,13842,2.659,0.594,0.110,0.024,54,7.3
sub-nottwil05,7222,4778,12600,2.449,0.537,0.119,0.026,69,7.9
sub-nottwil06,8526,5409,14896,2.520,0.589,0.103,0.020,56,7.2
sub-nwu02,7075,4425,13082,2.668,0.652,0.108,0.023,64,6.7
sub-nwu03,9956,6461,15728,2.248,0.664,0.106,0.020,79,8.4
sub-nwu04,9495,6357,18649,2.710,0.652,0.113,0.025,77,10.0
sub-nwu05,8330,5161,15749,2.765,0.624,0.098,0.020,54,7.0
sub-nwu06,6907,4356,12219,2.578,0.579,0.111,0.025,58,6.9
sub-oxfordFmrib01,9952,6600,15069,2.304,0.749,0.134,0.042,105,18.1
sub-oxfordFmrib02,9018,5701,17284,2.759,0.537,0.105,0.021,69,8.1
sub-oxfordFmrib03,7627,4975,14618,2.704,0.544,0.099,0.018,55,5.6
sub-oxfordFmrib04,7532,4955,14698,2.683,0.587,0.102,0.022,74,6.7
sub-oxfordFmrib05,7390,4362,11612,2.497,0.496,0.097,0.019,49,5.7
sub-oxfordFmrib06,7157,4324,13408,2.772,0.574,0.092,0.016,44,4.7
sub-oxfordFmrib07,8267,5325,15778,2.733,0.617,0.111,0.027,71,9.2
sub-oxfordFmrib08,7710,4774,14810,2.786,0.602,0.098,0.019,51,6.1
sub-oxfordFmrib09,8212,4942,14133,2.667,0.554,0.103,0.020,56,7.1
sub-oxfordFmrib10,8014,4954,14772,2.810,0.592,0.101,0.022,56,7.1
sub-oxfordFmrib11,7212,4655,14171,2.751,0.629,0.104,0.022,54,6.5
sub-oxfordOhba01,7062,4322,13083,2.701,0.566,0.091,0.016,44,4.6
sub-oxfordOhba02,8488,5157,15476,2.771,0.615,0.096,0.019,62,6.6
sub-oxfordOhba03,7298,4402,11654,2.497,0.570,0.106,0.025,59,7.4
sub-oxfordOhba04,7957,5078,14932,2.661,0.578,0.101,0.021,64,6.9
sub-oxfordOhba05,8993,5586,16727,2.728,0.607,0.102,0.020,67,7.2
sub-pavia01,6860,4458,12903,2.706,0.561,0.102,0.018,48,5.0
sub-pavia02,6888,4372,12767,2.702,0.595,0.105,0.021,51,5.9
