SubID,NumVert,SurfArea,GrayVol,ThickAvg,ThickStd,MeanCurv,GausCurv,FoldInd,CurvInd
sub-pavia01,6932,4471,13454,2.740,0.549,0.104,0.021,47,6.0
sub-pavia02,6853,4332,9456,2.058,0.591,0.105,0.021,56,5.9
sub-pavia03,8087,5267,14566,2.551,0.548,0.108,0.021,61,7.3
sub-pavia04,6676,4548,11951,2.428,0.604,0.133,0.036,72,10.0
sub-pavia05,7268,4607,13206,2.609,0.554,0.100,0.020,49,5.9
sub-pavia06,9379,5969,16772,2.622,0.534,0.107,0.020,74,8.3
sub-perform01,8923,6087,17126,2.494,0.677,0.134,0.042,114,14.9
sub-perform02,7154,4858,13383,2.559,0.633,0.133,0.041,70,12.0
sub-perform03,6370,4231,12579,2.707,0.561,0.115,0.027,47,7.2
sub-perform04,8096,5681,15345,2.473,0.613,0.139,0.045,86,14.9
sub-perform05,6242,4432,11586,2.391,0.681,0.134,0.039,62,10.3
sub-perform06,7459,5121,12937,2.369,0.671,0.143,0.047,82,15.2
